node_id,x,y,time,forward_id_1,forward_id_2
0,0.0,0.0,0.0,1.0,
1,0.6967067093471654,0.7173560908995228,2.0,2.0,
2,1.3934134186943308,1.4347121817990456,2.0,3.0,
3,2.0901201280414963,2.1520682726985685,4.0,4.0,
4,2.7868268373886615,1.4347121817990458,6.0,5.0,
5,3.483533546735827,2.1520682726985685,7.398406330898038,6.0,
6,2.7868268373886615,2.869424363598091,5.077392977370312,7.0,
7,3.483533546735827,2.1520682726985685,8.0,8.0,
8,0.6967067093471654,0.7173560908995228,0.06772652813442966,9.0,
9,2.7868268373886615,1.4347121817990458,4.0,10.0,
10,3.483533546735827,3.586780454497614,5.929522427739709,11.0,
11,3.483533546735827,2.1520682726985685,6.882190393626779,12.0,
12,1.3934134186943308,1.4347121817990456,2.0,13.0,
13,2.7868268373886615,2.869424363598091,4.715395148758274,14.0,
14,0.6967067093471654,0.7173560908995228,0.8488305712859188,15.0,
15,2.0901201280414963,2.1520682726985685,2.0,16.0,
16,2.7868268373886615,2.869424363598091,2.429304546768508,17.0,
17,3.483533546735827,3.586780454497614,7.077392977370312,18.0,
18,1.7417667733679134,1.793390227248807,2.0,19.0,
19,4.1802402560829925,1.4347121817990458,8.9544877900835,20.0,
20,3.483533546735827,0.717356090899523,6.282913718365236,21.0,
21,4.1802402560829925,1.4347121817990458,9.593154034531702,22.0,
22,3.697656974021001,3.2822057369694124,2.429304546768508,23.0,
23,4.1802402560829925,2.869424363598091,9.285012349332627,24.0,
24,2.7868268373886615,2.869424363598091,6.0,25.0,
25,3.483533546735827,2.1520682726985685,7.9176711258265975,26.0,
26,2.0901201280414963,2.1520682726985685,2.9553780359077564,27.0,
27,4.109221903224841,3.7059688568073903,2.789190416149092,28.0,
28,4.046010328694583,2.923527691519651,2.880946289123746,29.0,
29,3.483533546735827,3.586780454497614,2.7547734104609223,30.0,
30,2.0901201280414963,2.1520682726985685,2.067594079510513,31.0,
31,3.483533546735827,0.717356090899523,8.0,32.0,
32,2.7868268373886615,1.4347121817990458,5.067728564354454,33.0,
33,3.483533546735827,0.717356090899523,5.067728564354454,34.0,
34,3.251222594974521,2.3912645858570762,5.472673554769941,35.0,
35,3.752600251647329,1.1753249957023613,4.0,36.0,
36,1.3934134186943308,1.4347121817990456,3.6464111541560458,37.0,
37,3.483533546735827,0.717356090899523,7.453207466427107,38.0,
38,3.14797979013053,1.0628551766634298,6.0,39.0,
39,2.0901201280414963,2.1520682726985685,5.1505172205241685,40.0,
40,2.0901201280414963,2.1520682726985685,4.404251966826974,41.0,
41,2.7868268373886615,2.869424363598091,7.1505172205241685,42.0,
42,2.0901201280414963,2.1520682726985685,3.6464111541560458,43.0,
43,4.247236941932666,2.4804577506935144,5.472673554769941,44.0,
44,2.0901201280414963,2.1520682726985685,2.0,45.0,
45,4.1802402560829925,2.220446049250313e-16,9.46880377275423,46.0,
46,4.5574185096529805,3.7929014407380466,2.429304546768508,47.0,
47,3.483533546735827,2.1520682726985685,8.792560999874366,48.0,
48,3.483533546735827,2.1520682726985685,9.150517220524168,49.0,
49,3.599575949648104,2.0325865404073147,5.577643262674643,50.0,
50,2.7868268373886615,2.869424363598091,5.398570858409791,51.0,
51,3.483533546735827,2.1520682726985685,8.670153366027074,52.0,
52,0.6967067093471654,0.7173560908995228,1.6425165816242429,53.0,
53,2.0901201280414963,0.7173560908995228,4.7824439399337635,54.0,
54,4.438259834321069,1.854582616248208,7.097452585883981,55.0,
55,3.483533546735827,3.586780454497614,9.150517220524168,56.0,
